timestamp,shift,machine_id,downtime_minutes,downtime_type,downtime_reason,total_output,defect_units,defect_rate,defect_type,avg_temperature,avg_vibration,energy_consumption
3/1/2025 7:00,Pagi,M01,0,Tidak ada,-,520,5,0.96,Finishing,45.2,0.025,120
3/1/2025 15:00,Siang,M01,10,Operasional,Setup lama,490,8,1.63,Dimensi,46,0.027,124
3/1/2025 23:00,Malam,M01,40,Teknis,Overheat,410,22,5.37,Retak,58.4,0.042,138
3/2/2025 7:00,Pagi,M01,0,Tidak ada,-,525,4,0.76,Finishing,44.9,0.024,119
3/2/2025 15:00,Siang,M01,12,Operasional,Material terlambat,485,9,1.86,Dimensi,46.3,0.028,126
3/2/2025 23:00,Malam,M01,35,Teknis,Overheat,420,20,4.76,Retak,57.9,0.041,136
3/3/2025 7:00,Pagi,M01,5,Operasional,Start-up mesin,515,6,1.17,Finishing,45.1,0.026,121
3/3/2025 15:00,Siang,M01,0,Tidak ada,-,530,5,0.94,Finishing,45,0.025,122
3/3/2025 23:00,Malam,M01,50,Teknis,Bearing panas,395,25,6.33,Retak,60.1,0.048,142
3/4/2025 7:00,Pagi,M01,0,Tidak ada,-,528,4,0.76,Finishing,44.8,0.024,118
3/4/2025 15:00,Siang,M01,15,Operasional,Penyesuaian material,480,10,2.08,Dimensi,46.7,0.029,128
3/4/2025 23:00,Malam,M01,45,Teknis,Overheat,405,23,5.68,Retak,59.6,0.045,140
3/5/2025 7:00,Pagi,M01,0,Tidak ada,-,522,5,0.96,Finishing,45,0.025,120
3/5/2025 15:00,Siang,M01,8,Operasional,Setup ulang,495,7,1.41,Dimensi,46.2,0.027,125
3/5/2025 23:00,Malam,M01,30,Teknis,Suhu tinggi,430,18,4.19,Retak,56.8,0.039,134
3/6/2025 7:00,Pagi,M01,0,Tidak ada,-,530,4,0.75,Finishing,44.7,0.024,119
3/6/2025 15:00,Siang,M01,10,Operasional,Material tidak stabil,490,8,1.63,Dimensi,46.4,0.028,127
3/6/2025 23:00,Malam,M01,38,Teknis,Overheat,415,21,5.06,Retak,58.9,0.043,137
3/7/2025 7:00,Pagi,M01,0,Tidak ada,-,525,5,0.95,Finishing,45,0.025,121
3/7/2025 15:00,Siang,M01,5,Operasional,Start-up,510,6,1.18,Finishing,45.8,0.026,123
3/7/2025 23:00,Malam,M01,55,Teknis,Bearing panas,390,27,6.92,Retak,61,0.05,145
3/8/2025 7:00,Pagi,M01,0,Tidak ada,-,527,4,0.75,Finishing,45,0.024,118
3/8/2025 15:00,Siang,M01,9,Operasional,Setup lama,488,8,1.64,Dimensi,46.1,0.027,123
3/8/2025 23:00,Malam,M01,37,Teknis,Overheat,418,20,4.78,Retak,58.3,0.041,137
3/9/2025 7:00,Pagi,M01,0,Tidak ada,-,530,4,0.75,Finishing,44.8,0.024,119
3/9/2025 15:00,Siang,M01,11,Operasional,Material terlambat,482,9,1.87,Dimensi,46.4,0.028,125
3/9/2025 23:00,Malam,M01,42,Teknis,Overheat,409,21,5.13,Retak,59.1,0.042,138
3/10/2025 7:00,Pagi,M01,0,Tidak ada,-,529,4,0.76,Finishing,44.9,0.024,118
3/10/2025 15:00,Siang,M01,10,Operasional,Penyesuaian material,487,8,1.64,Dimensi,46.6,0.029,126
3/10/2025 23:00,Malam,M01,48,Teknis,Bearing panas,400,23,5.75,Retak,60.3,0.047,142
3/11/2025 7:00,Pagi,M01,0,Tidak ada,-,526,4,0.76,Finishing,45.1,0.024,119
3/11/2025 15:00,Siang,M01,14,Operasional,Setup ulang,483,9,1.86,Dimensi,46.5,0.028,127
3/11/2025 23:00,Malam,M01,33,Teknis,Overheat,422,19,4.5,Retak,57.7,0.04,136
3/12/2025 7:00,Pagi,M01,0,Tidak ada,-,531,4,0.75,Finishing,44.7,0.024,118
3/12/2025 15:00,Siang,M01,12,Operasional,Material tidak stabil,489,8,1.63,Dimensi,46.4,0.028,125
3/12/2025 23:00,Malam,M01,44,Teknis,Overheat,412,21,5.1,Retak,58.8,0.043,137
3/13/2025 7:00,Pagi,M01,0,Tidak ada,-,528,4,0.76,Finishing,45,0.025,120
3/13/2025 15:00,Siang,M01,7,Operasional,Start-up,502,7,1.39,Finishing,46,0.027,123
3/13/2025 23:00,Malam,M01,52,Teknis,Bearing panas,388,26,6.7,Retak,60.9,0.049,144
3/14/2025 7:00,Pagi,M01,0,Tidak ada,-,529,4,0.76,Finishing,44.8,0.024,118
3/14/2025 15:00,Siang,M01,9,Operasional,Setup lama,486,8,1.65,Dimensi,46.1,0.027,124
3/14/2025 23:00,Malam,M01,36,Teknis,Overheat,421,20,4.75,Retak,58.5,0.041,137
